2026-04-17 23:12:32;1;purchase;1
2026-04-17 23:12:32;1;view;2
2026-04-17 23:12:32;1;purchase;2
2026-04-17 23:14:06;1;purchase;1
2026-04-17 23:14:06;1;view;2
2026-04-17 23:14:06;1;purchase;2
2026-04-17 23:15:44;1;purchase;1
2026-04-17 23:15:44;1;view;2
2026-04-17 23:15:44;1;purchase;2
2026-04-17 23:16:39;1;purchase;1
2026-04-17 23:16:39;1;view;2
2026-04-17 23:16:39;1;purchase;2
2026-04-17 23:17:38;1;purchase;1
2026-04-17 23:17:38;1;view;2
2026-04-17 23:17:38;1;purchase;2
2026-04-17 23:20:34;1;purchase;1
2026-04-17 23:20:34;1;view;2
2026-04-17 23:20:34;1;purchase;2
2026-04-17 23:22:39;1;purchase;1
2026-04-17 23:22:39;1;view;2
2026-04-17 23:22:39;1;purchase;2
2026-04-17 23:23:08;1;purchase;1
2026-04-17 23:23:08;1;view;2
2026-04-17 23:23:08;1;purchase;2
2026-04-17 23:32:08;1;purchase;1
2026-04-17 23:32:08;1;view;2
2026-04-17 23:32:08;1;purchase;2
2026-04-17 23:40:01;1;purchase;1
2026-04-17 23:40:01;1;view;2
2026-04-17 23:40:01;1;purchase;2
2026-04-17 23:40:55;1;purchase;1
2026-04-17 23:40:55;1;view;2
2026-04-17 23:40:55;1;purchase;2
